City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Kavieng,PG,83.53,-2.5744,150.7967,Nusa Island Retreat
2,Atuona,PF,78.89,-9.8,-139.0333,Villa Enata
14,San Patricio,US,75.88,28.017,-97.5169,"Motel 6 Sinton, TX"
15,Coahuayana,MX,80.08,18.7333,-103.6833,El rranchito michuacan de ocampos
17,Hithadhoo,MV,81.46,-0.6,73.0833,Scoop Guest House
20,Pirapemas,BR,75.06,-3.7267,-44.2233,HOTEL DA LOURA
22,Rikitea,PF,76.89,-23.1203,-134.9692,People ThankYou
24,Mumford,GH,79.47,5.2618,-0.759,Spanish Villa
26,Buala,SB,78.4,-8.145,159.5921,Maringe Lagoon Lodge
27,Ishigaki,JP,75.33,24.3448,124.1572,Hotel Peace Land Ishigakijima
28,Beloha,MG,75.0,-25.1667,45.05,
36,Avarua,CK,80.65,-21.2078,-159.775,Paradise Inn
38,Luwuk,ID,86.43,-0.9516,122.7875,Hotel Santika Luwuk
54,Carnarvon,AU,80.67,-24.8667,113.6333,Hospitality Carnarvon
59,Bengkulu,ID,82.04,-3.8004,102.2655,Grage Hotel Bengkulu
60,Aquiraz,BR,84.22,-3.9014,-38.3911,Pousada Rua Camurupim
61,Itarema,BR,80.92,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
62,Vaini,TO,82.56,-21.2,-175.2,Keleti Beach Resort
71,Souillac,MU,79.18,-20.5167,57.5167,Shanti Maurice Resort & Spa
73,Georgetown,MY,82.89,5.4112,100.3354,Cititel Penang
77,Sola,VU,81.27,-13.8833,167.55,Leumerus Bungalows
80,Jammalamadugu,IN,77.88,14.8333,78.4,R and B Guest House
84,Mount Gambier,AU,76.91,-37.8333,140.7667,The Commodore
89,Sinnamary,GF,76.48,5.3833,-52.95,ALETHEIA Appartement Sinnamary
95,Acarau,BR,81.07,-2.8856,-40.12,castelo pizzaria
106,Kudahuvadhoo,MV,82.2,2.6708,72.8944,Niyama Private Islands Maldives
118,Trat,TH,80.8,12.5,102.5,สวนหนิง-อัศ
128,Kapaa,US,76.98,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
133,Tucuman,AR,75.2,-26.8241,-65.2226,Dallas Hotel Tucuman
134,Saint-Philippe,RE,81.95,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
135,Bambous Virieux,MU,79.05,-20.3428,57.7575,Casa Tia Villa
137,Balingasay,PH,79.56,16.3573,119.8564,Rock Garden Resort
145,Arawa,PG,83.75,-6.2132,155.5367,Coastline Guest House
146,Saint-Joseph,RE,80.96,-21.3667,55.6167,"""Plantation Bed and Breakfast"
150,Grand Gaube,MU,79.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
151,Tezu,IN,76.15,27.9167,96.1667,Circuit House
152,Cabo San Lucas,MX,76.51,22.8909,-109.9124,Hotel Tesoro Los Cabos
153,Saint-Georges,GD,80.28,12.0564,-61.7485,Radisson Grenada Beach Resort
154,Acapulco,MX,80.42,16.8634,-99.8901,HS Hotsson Smart Acapulco
156,Axim,GH,79.12,4.8699,-2.2405,Axim Beach Resort And Spa
160,Puerto Escondido,MX,77.83,15.85,-97.0667,Aldea del Bazar Hotel and Spa
163,Soyo,AO,77.97,-6.1349,12.3689,Hotel Mpampa
167,Benguela,AO,75.56,-12.5763,13.4055,Hotel Praia Morena
171,Bandarbeyla,SO,76.3,9.4942,50.8122,JABIR HOTEL
174,Butaritari,KI,81.46,3.0707,172.7902,Isles Sunset Lodge
180,Hambantota,LK,80.94,6.1241,81.1185,Bungalow 63
184,Galveston,US,75.31,29.3669,-94.9669,Comfort Inn & Suites Texas City
188,Toowoomba,AU,75.94,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
194,Murray Bridge,AU,84.83,-35.1167,139.2667,Balcony On Sixth Lodge
200,Richards Bay,ZA,75.79,-28.783,32.0377,BON Hotel Waterfront Richards Bay
204,Stabat,ID,82.6,3.761,98.4513,Link VII damai
205,Port Augusta,AU,82.71,-32.5,137.7667,Majestic Oasis Apartments
208,Wanlaweyn,SO,75.25,2.6185,44.8938,GAASHAAN HOME
220,Santa Cruz,BO,78.26,-17.8,-63.1667,Aviador Hotel Boutique
225,Swan Hill,AU,85.87,-35.3378,143.5544,Lazy River Motor Inn
226,Robertsport,LR,80.24,6.7533,-11.3686,Kwepunha Retreat
235,Colac,AU,85.01,-38.3333,143.5833,Otway Gate Motel
237,Chakia,IN,76.57,26.4167,85.05,Vikash hotel
243,Alofi,NU,80.49,-19.0595,-169.9187,Taloa Heights
245,Bubaque,GW,80.76,11.2833,-15.8333,"Casa Dora, Bubaque"
248,Ranong,TH,82.33,9.9658,98.6348,Tinidee Hotel@Ranong
254,Modasa,IN,75.47,23.4667,73.3,HOTEL SUN SHINE
256,Tres Lagoas,BR,75.29,-20.7511,-51.6783,Druds Express Hotel
265,Ranot,TH,80.87,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
270,Conde,BR,78.26,-7.2597,-34.9075,Pousada Beija Flor
