City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Namtsy,RU,2021-12-05 09:45:32,62.7161,129.6658,-20.09,100,100,1.21
1,Beloha,MG,2021-12-05 09:45:32,-25.1667,45.05,100.0,23,0,13.49
2,Hambantota,LK,2021-12-05 09:45:32,6.1241,81.1185,86.34,89,20,6.91
3,Castro,BR,2021-12-05 09:45:33,-24.7911,-50.0119,61.12,86,85,4.5
4,Ilulissat,GL,2021-12-05 09:45:33,69.2167,-51.1,35.62,48,100,23.02
5,Cidreira,BR,2021-12-05 09:45:34,-30.1811,-50.2056,70.97,85,82,12.5
6,Longyearbyen,SJ,2021-12-05 09:45:34,78.2186,15.6401,17.44,67,75,9.22
7,Asosa,ET,2021-12-05 09:45:34,10.0667,34.5333,87.21,17,0,3.2
8,Puerto Ayora,EC,2021-12-05 09:45:35,-0.7393,-90.3518,67.75,94,43,6.02
9,Vaini,TO,2021-12-05 09:45:35,-21.2,-175.2,78.96,83,40,9.22
10,Saint-Joseph,RE,2021-12-05 09:45:35,-21.3667,55.6167,86.38,72,16,10.33
11,Barrow,US,2021-12-05 09:45:36,71.2906,-156.7887,6.82,78,90,21.85
12,Busselton,AU,2021-12-05 09:45:36,-33.65,115.3333,78.08,46,37,21.14
13,Callaway,US,2021-12-05 09:45:37,30.153,-85.5699,56.91,100,75,0.0
14,Bethel,US,2021-12-05 09:45:37,41.3712,-73.414,41.05,57,1,3.44
15,Hermanus,ZA,2021-12-05 09:45:37,-34.4187,19.2345,68.9,86,99,11.43
16,Hobart,AU,2021-12-05 09:45:38,-42.8794,147.3294,60.66,59,0,9.22
17,Norman Wells,CA,2021-12-05 09:45:38,65.282,-126.8329,-38.16,67,20,4.61
18,Kijang,KR,2021-12-05 09:45:39,35.2442,129.2139,49.73,59,48,2.42
19,Pevek,RU,2021-12-05 09:45:39,69.7008,170.3133,-21.3,95,96,3.49
20,Masuguru,TZ,2021-12-05 09:45:39,-11.3667,38.4167,94.96,38,100,3.67
21,Atuona,PF,2021-12-05 09:45:40,-9.8,-139.0333,78.22,75,5,16.37
22,San Policarpo,PH,2021-12-05 09:45:41,12.1791,125.5072,80.08,74,68,17.58
23,Constitucion,CL,2021-12-05 09:45:41,-35.3333,-72.4167,58.37,63,0,4.05
24,Severo-Kurilsk,RU,2021-12-05 09:45:41,50.6789,156.125,27.72,79,87,18.1
25,Hilo,US,2021-12-05 09:44:53,19.7297,-155.09,70.25,96,90,0.0
26,Saint-Augustin,CA,2021-12-05 09:45:42,51.226,-58.6502,19.0,68,1,10.65
27,Qaanaaq,GL,2021-12-05 09:45:42,77.484,-69.3632,12.56,71,97,8.03
28,Punta Arenas,CL,2021-12-05 09:45:43,-53.15,-70.9167,44.71,70,20,6.91
29,Lufilufi,WS,2021-12-05 09:45:43,-13.8745,-171.5986,74.98,73,89,6.89
30,Ruteng,ID,2021-12-05 09:45:44,-8.6136,120.4721,64.04,94,100,3.42
31,Fairbanks,US,2021-12-05 09:45:44,64.8378,-147.7164,-7.51,77,90,0.0
32,Bathsheba,BB,2021-12-05 09:45:44,13.2167,-59.5167,79.41,78,40,20.71
33,Tosya,TR,2021-12-05 09:45:45,41.0155,34.0401,47.21,90,99,1.61
34,Upernavik,GL,2021-12-05 09:45:45,72.7868,-56.1549,21.47,77,100,7.96
35,Wuwei,CN,2021-12-05 09:45:46,37.9281,102.6414,36.91,20,0,5.01
36,Rikitea,PF,2021-12-05 09:45:46,-23.1203,-134.9692,74.98,79,98,7.87
37,Gaya,IN,2021-12-05 09:45:46,24.7833,85.0,80.51,54,20,2.3
38,Arman,RU,2021-12-05 09:45:47,59.7,150.1667,-12.24,98,81,5.91
39,Kollam,IN,2021-12-05 09:45:41,8.8833,76.6,85.87,72,12,11.12
40,Bluff,NZ,2021-12-05 09:45:47,-46.6,168.3333,48.79,68,94,13.91
41,Ushuaia,AR,2021-12-05 09:45:48,-54.8,-68.3,44.26,76,75,14.97
42,Coihaique,CL,2021-12-05 09:44:01,-45.5752,-72.0662,52.41,76,0,0.0
43,Hithadhoo,MV,2021-12-05 09:45:48,-0.6,73.0833,80.56,83,100,15.73
44,Isangel,VU,2021-12-05 09:45:49,-19.55,169.2667,76.95,86,65,8.03
45,Klaksvik,FO,2021-12-05 09:45:49,62.2266,-6.589,34.72,56,96,13.29
46,Corredor,CR,2021-12-05 09:45:50,8.64,-82.946,81.5,92,7,3.15
47,San Clemente,US,2021-12-05 09:41:55,33.427,-117.612,58.87,93,3,3.0
48,Hof,DE,2021-12-05 09:46:50,50.3167,11.9167,37.45,90,75,4.61
